Адрес	Широта	Долгота	"Уникальный идентификатор объявления"	"Начало размещения"	"Окончание размещения"	"Способ размещения"	"Услуга продвижения"	"Номер объявления на Авито"	"Контактное лицо"	"Номер телефона"	"Идентификатор адреса"	"Способ связи"	Addresses	"Адреса отгрузки"	Категория	"Описание объявления"	"Названия фото"	"Ссылки на фото"	"Ссылка на видео"	"Настройка цены целевого действия"	"Настройка цены целевого действия: автоматическая"	"Настройка цены целевого действия: ручная"	"Название объявления"	"Интернет звонки"	"Устройства для приёма звонков"	"Способ доставки"	"Вес (Для Доставки)"	"Длина (Для Доставки)"	"Высота (Для Доставки)"	"Ширина (Для Доставки)"	Возвраты	"Субсидирование доставки"	Цена	"URL видеофайла"	"Вид товара"	"Вид объявления"	"Тип товара"	"Вид запчасти"	"Тип детали двигателя"	Состояние	Происхождение	Доступность	Производитель	"Номер детали OEM"	"Производитель оригинала"	"Номер оригинала"	"Авто для которых подходит запчасть"	"Включая НДС"	"Оптовые продажи"	"Тип минимального заказа"	"Количество в минимальном заказе"	Фасовка	"Количество в фасовке"	"В чём измеряются товары"	"Скидка за опт"	"Размер скидки за опт"
"Республика Татарстан (Татарстан), Казань, ул. Восстания, 100к8400"			8363116578					8363116578							"Запчасти и аксессуары"	"Двигатель Opel Zafira Z16XER
Город: Республика Татарстан (Татарстан), Казань, ул. Восстания, 100к8400
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/kazan/zapchasti_i_aksessuary/dvigatel_opel_zafira_z16xer_8363116578"							"Двигатель Opel Zafira Z16XER"										116100							new																
"Пермский край, Пермь, Маршрутная ул., 19"			8363060802					8363060802							"Запчасти и аксессуары"	"Двигатель Senova X25 A151A1
Город: Пермский край, Пермь, Маршрутная ул., 19
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/perm/zapchasti_i_aksessuary/dvigatel_senova_x25_a151a1_8363060802"							"Двигатель Senova X25 A151A1"										107100							new																
"Астраханская обл., Астрахань, пл. имени Ленина"			8362849905					8362849905							"Запчасти и аксессуары"	"Двигатель Volkswagen Golf CHP
Город: Астраханская обл., Астрахань, пл. имени Ленина
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/astrahan/zapchasti_i_aksessuary/dvigatel_volkswagen_golf_chp_8362849905"							"Двигатель Volkswagen Golf CHP"										130500							new																
"Тюменская обл., г.о. Тюмень, д. Ожогина, Садовая ул., 13"			8362840988					8362840988							"Запчасти и аксессуары"	"Двигатель Great Wall Ноver Н5 4G64S4N
Город: Тюменская обл., г.о. Тюмень, д. Ожогина, Садовая ул., 13
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/tyumen/zapchasti_i_aksessuary/dvigatel_great_wall_nover_n5_4g64s4n_8362840988"							"Двигатель Great Wall Ноver Н5 4G64S4N"										89100							new																
"Оренбургская обл., Оренбург, пр. Автоматики, 8А"			8362562129					8362562129							"Запчасти и аксессуары"	"Двигатель Volkswagen Scirocco CCZ
Город: Оренбургская обл., Оренбург, пр. Автоматики, 8А
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/orenburg/zapchasti_i_aksessuary/dvigatel_volkswagen_scirocco_ccz_8362562129"							"Двигатель Volkswagen Scirocco CCZ"										168300							new																
"Пермский край, Пермь, Маршрутная ул., 19"			8362293377					8362293377							"Запчасти и аксессуары"	"Двигатель Great Wall Wingle GW2.8TC
Город: Пермский край, Пермь, Маршрутная ул., 19
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/perm/zapchasti_i_aksessuary/dvigatel_great_wall_wingle_gw2.8tc_8362293377"							"Двигатель Great Wall Wingle GW2.8TC"										139500							new																
"Саратовская обл., Саратов, Ново-Астраханское ш., 52А"			8362291429					8362291429							"Запчасти и аксессуары"	"Двигатель Great Wall Ноver Н5 4G64S4N
Город: Саратовская обл., Саратов, Ново-Астраханское ш., 52А
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/saratov/zapchasti_i_aksessuary/dvigatel_great_wall_nover_n5_4g64s4n_8362291429"							"Двигатель Great Wall Ноver Н5 4G64S4N"										89100							new																
"Кировская обл., Киров, Театральная пл."			8362286440					8362286440							"Запчасти и аксессуары"	"Двигатель Great Wall Ноver Н5 4G64S4N
Город: Кировская обл., Киров, Театральная пл.
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/kirovskaya_oblast_kirov/zapchasti_i_aksessuary/dvigatel_great_wall_nover_n5_4g64s4n_8362286440"							"Двигатель Great Wall Ноver Н5 4G64S4N"										89100							new																
"Чувашская Республика — Чувашия, г.о. Чебоксары, Ленинский район, пл. Республики"			8362064864					8362064864							"Запчасти и аксессуары"	"Двигатель Senova X25 A151A30
Город: Чувашская Республика — Чувашия, г.о. Чебоксары, Ленинский район, пл. Республики
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/cheboksary/zapchasti_i_aksessuary/dvigatel_senova_x25_a151a30_8362064864"							"Двигатель Senova X25 A151A30"										119000							new																
"Удмуртская Республика, Ижевск, Воткинское ш., 202В"			8361964395					8361964395							"Запчасти и аксессуары"	"Двигатель Volkswagen Golf CHP
Город: Удмуртская Республика, Ижевск, Воткинское ш., 202В
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/izhevsk/zapchasti_i_aksessuary/dvigatel_volkswagen_golf_chp_8361964395"							"Двигатель Volkswagen Golf CHP"										130500							new																
"Новосибирская обл., Новосибирск, Красный пр-т"			8361951873					8361951873							"Запчасти и аксессуары"	"Двигатель Volkswagen Scirocco CCZ
Город: Новосибирская обл., Новосибирск, Красный пр-т
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/novosibirsk/zapchasti_i_aksessuary/dvigatel_volkswagen_scirocco_ccz_8361951873"							"Двигатель Volkswagen Scirocco CCZ"										168300							new																
"Тюменская обл., г.о. Тюмень, д. Ожогина, Садовая ул., 13"			8355777557					8355777557							"Запчасти и аксессуары"	"Двигатель Volkswagen Scirocco CCZ
Город: Тюменская обл., г.о. Тюмень, д. Ожогина, Садовая ул., 13
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/tyumen/zapchasti_i_aksessuary/dvigatel_volkswagen_scirocco_ccz_8355777557"							"Двигатель Volkswagen Scirocco CCZ"										168300							new																
"Санкт-Петербург, Партизанская ул., 23к2"			8355756083					8355756083							"Запчасти и аксессуары"	"Двигатель Great Wall Ноver Н5 4G64S4N
Город: Санкт-Петербург, Партизанская ул., 23к2
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/sankt-peterburg/zapchasti_i_aksessuary/dvigatel_great_wall_nover_n5_4g64s4n_8355756083"							"Двигатель Great Wall Ноver Н5 4G64S4N"										89100							new																
"Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27"			8355321037					8355321037							"Запчасти и аксессуары"	"Двигатель Volkswagen Scirocco CCZ
Город: Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/surgut/zapchasti_i_aksessuary/dvigatel_volkswagen_scirocco_ccz_8355321037"							"Двигатель Volkswagen Scirocco CCZ"										168300							new																
"Новосибирская обл., Новосибирск, Красный пр-т"			8355065345					8355065345							"Запчасти и аксессуары"	"Двигатель Great Wall Ноver Н5 4G64S4N
Город: Новосибирская обл., Новосибирск, Красный пр-т
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/novosibirsk/zapchasti_i_aksessuary/dvigatel_great_wall_nover_n5_4g64s4n_8355065345"							"Двигатель Great Wall Ноver Н5 4G64S4N"										89100							new																
